ids,labels,parents
Type Products,All Products,
Animal Products,Animal  Products,Type Products
Vegetable Products,Vegetable Products,Type Products
Animal and Vegetable Bi-Products,Animal and Vegetable Bi-Products,Type Products
Foodstuffs,Foodstuffs,Type Products
Mineral Products,Mineral Products,Type Products
Chemical Products,Chemical Products,Type Products
Plastics and Rubbers,Plastics and Rubbers,Type Products
Animal Hides,Animal Hides,Type Products
Wood Products,Wood Products,Type Products
Paper Goods,Paper Goods,Type Products
Textiles,Textiles,Type Products
Footwear and Headwear,Footwear and Headwear,Type Products
Stone And Glass,Stone And Glass,Type Products
Precious Metals,Precious Metals,Type Products
Metals,Metals,Type Products
Machines,Machines,Type Products
Transportation,Transportation,Type Products
Instruments,Instruments,Type Products
Weapons,Weapons,Type Products
Miscellaneous,Miscellaneous,Type Products
Stone plaster cement asbestos mica or similar materials,Stone plaster cement asbestos mica or similar materials,Stone And Glass
Ceramic products,Ceramic products,Stone And Glass
Glass and glassware,Glass and glassware,Stone And Glass
Precious metals gems and jewelry,Precious metals gems and jewelry,Precious Metals
Iron and steel,Iron and steel,Metals
Iron or steel articles,Iron or steel articles,Metals
Copper and articles thereof,Copper and articles thereof,Metals
Nickel and articles thereof,Nickel and articles thereof,Metals
Aluminium and articles thereof,Aluminium and articles thereof,Metals
Lead and articles thereof,Lead and articles thereof,Metals
Zinc and articles thereof,Zinc and articles thereof,Metals
Tin,Tin,Metals
Metal Elements,Metals Elements,Metals
Tools and cutlery,Tools and cutlery,Metals
Metal,Metal,Metals
Machinery and appliances,Machinery and appliances,Machines
Electrical machinery and equipment,Electrical machinery and equipment,Machines
Railway and other rolling stock,Railway and other rolling stock,Transportation
Vehicles and their parts,Vehicles and their parts,Transportation
Aircraft spacecraft and parts thereof,Aircraft spacecraft and parts thereof,Transportation
Ships boats and floating structures,Ships boats and floating structures,Transportation
Instruments and apparatus,Instruments and apparatus,Instruments
Clocks and watches,Clocks and watches,Instruments
Musical instruments,Musical instruments,Instruments
Arms and ammunition,Arms and ammunition,Weapons
Furniture,Furniture,Miscellaneous
Toys and games,Toys and games,Miscellaneous
Miscellaneous manufactured articles,Miscellaneous manufactured articles,Miscellaneous
Works of art,Works of art,Arts and Antiques
79,Sausages value:12241793,Meat fish or crustaceans molluscs or other aquatic invertebrates
80,Other Prepared Meat value:8464777,Meat fish or crustaceans molluscs or other aquatic invertebrates
81,Processed Fish value:28881221,Meat fish or crustaceans molluscs or other aquatic invertebrates
82,Processed Crustaceans value:326071,Meat fish or crustaceans molluscs or other aquatic invertebrates
83,Raw Sugar value:78288385,Sugars and sugar confectionery
84,Other Sugars value:974797,Sugars and sugar confectionery
85,Molasses value:1292,Sugars and sugar confectionery
86,Confectionery Sugar value:16518178,Sugars and sugar confectionery
87,Cocoa Beans value:1727000,Cocoa and cocoa preparations
88,Cocoa Paste value:2553,Cocoa and cocoa preparations
89,Cocoa Butter value:49798,Cocoa and cocoa preparations
90,Cocoa Powder value:122047,Cocoa and cocoa preparations
91,Chocolate value:9509786,Cocoa and cocoa preparations
92,Pickled Foods value:1583567,Preparations of vegetables fruit nuts or other parts of plants
93,Processed Tomatoes value:6036717,Preparations of vegetables fruit nuts or other parts of plants
94,Processed Mushrooms value:584255,Preparations of vegetables fruit nuts or other parts of plants
95,Other Frozen Vegetables value:1573789,Preparations of vegetables fruit nuts or other parts of plants
96,Other Processed Vegetables value:6781542,Preparations of vegetables fruit nuts or other parts of plants
97,Sugar Preserved Foods value:1739052,Preparations of vegetables fruit nuts or other parts of plants
98,Jams value:29203004,Preparations of vegetables fruit nuts or other parts of plants
99,Other Processed Fruits and Nuts value:169027547,Preparations of vegetables fruit nuts or other parts of plants
100,Fruit Juice value:156036926,Preparations of vegetables fruit nuts or other parts of plants
101,Coffee and Tea Extracts value:1849512,Miscellaneous edible preparations
102,Yeast value:682178,Miscellaneous edible preparations
103,Sauces and Seasonings value:110227334,Miscellaneous edible preparations
104,Soups and Broths value:208341,Miscellaneous edible preparations
105,Ice Cream value:13586873,Miscellaneous edible preparations
106,Other Edible Preparations value:463747632,Miscellaneous edible preparations
107,Water value:677736,Beverages spirits and vinegar
108,Flavored Water value:41820943,Beverages spirits and vinegar
109,Beer value:4164288,Beverages spirits and vinegar
110,Wine value:8386,Beverages spirits and vinegar
111 vermouth value:182,Beverages spirits and vinegar
112,Other Fermented Beverages value:4605,Beverages spirits and vinegar
113,Alcohol > 80% ABV value:18032109,Beverages spirits and vinegar
114,Hard Liquor value:19780742,Beverages spirits and vinegar
115 vinegar value:203519,Beverages spirits and vinegar
116,Raw Tobacco value:653692,Tobacco and manufactured tobacco substitutes
117,Rolled Tobacco value:4441543,Tobacco and manufactured tobacco substitutes
118,Processed Tobacco value:11162,Tobacco and manufactured tobacco substitutes
119,Chromium Ore value:1699,Ores slag and ash
120,Molybdenum Ore value:450,Ores slag and ash
121,Precious Metal Ore value:201,Ores slag and ash
122,Other Ores value:2030,Ores slag and ash
123,Granulated Slag value:128380,Ores slag and ash
124,Non-Iron and Steel Slag Ash and Residues value:3530895,Ores slag and ash
125,Other Slag and Ash value:5,Ores slag and ash
126,Coal Tar Oil value:117186,Mineral fuels mineral oils and products of their distillation
127,Pitch Coke value:87,Mineral fuels mineral oils and products of their distillation
128,Refined Petroleum value:2814359,Mineral fuels mineral oils and products of their distillation
129,Petroleum Gas value:7103,Mineral fuels mineral oils and products of their distillation
130,Petroleum Jelly value:359542,Mineral fuels mineral oils and products of their distillation
131,Petroleum Coke value:69,Mineral fuels mineral oils and products of their distillation
132,Asphalt value:7386,Mineral fuels mineral oils and products of their distillation
133,Asphalt Mixtures value:1088,Mineral fuels mineral oils and products of their distillation
134,Electricity value:6678184,Mineral fuels mineral oils and products of their distillation
135,Acyclic Hydrocarbons value:339285,Organic chemicals
136,Cyclic Hydrocarbons value:499583,Organic chemicals
137,Halogenated Hydrocarbons value:21613,Organic chemicals
138,Sulfonated Nitrated or Nitrosated Hydrocarbons value:8804,Organic chemicals
139,Acyclic Alcohols value:165853,Organic chemicals
140,Cyclic Alcohols value:60830,Organic chemicals
141,Phenols value:20834,Organic chemicals
142,Ethers value:308170,Organic chemicals
143,Epoxides value:6075,Organic chemicals
144,Aldehydes value:480530,Organic chemicals
145,Ketones and Quinones value:178569,Organic chemicals
146,Saturated Acyclic Monocarboxylic Acids value:522256,Organic chemicals
147,Unsaturated Acyclic Monocarboxylic Acids value:463958,Organic chemicals
148,Polycarboxylic Acids value:152962,Organic chemicals
149,Carboxylic Acids value:446275,Organic chemicals
150,Amine Compounds value:121816,Organic chemicals
151,Oxygen Amino Compounds value:164278,Organic chemicals
152,Quaternary Ammonium Salts and Hydroxides value:1513954,Organic chemicals
153,Carboxyamide Compounds value:152958,Organic chemicals
154,Carboxyimide Compounds value:27268,Organic chemicals
155,Nitrile Compounds value:119472,Organic chemicals
156,Diazo Azo or Aoxy Compounds value:243,Organic chemicals
157,Hydrazine or Hydroxylamine Derivatives value:9743,Organic chemicals
158,Other Nitrogen Compounds value:70235,Organic chemicals
159,Organo-Sulfur Compounds value:404137,Organic chemicals
160,Other Organo-Inorganic Compounds value:43100,Organic chemicals
161,Oxygen Heterocyclic Compounds value:136818,Organic chemicals
162,Nitrogen Heterocyclic Compounds value:1178600,Organic chemicals
163,Nucleic Acids value:483119,Organic chemicals
164,Sulfonamides value:36262,Organic chemicals
165 vitamins value:479469,Organic chemicals
166,Hormones value:31783,Organic chemicals
167,Glycosides value:3,Organic chemicals
168 vegetable Alkaloids value:157,Organic chemicals
169,Chemically Pure Sugars value:3698,Organic chemicals
170,Antibiotics value:500043,Organic chemicals
171,Other Organic Compounds value:69620,Organic chemicals
172,Glands and Other Organs value:5137040,Pharmaceutical products
173,Blood antisera vaccines toxins and cultures value:143603139,Pharmaceutical products
174,Unpackaged Medicaments value:881808,Pharmaceutical products
175,Packaged Medicaments value:167787365,Pharmaceutical products
176,Bandages value:1084137,Pharmaceutical products
177,Special Pharmaceuticals value:8289436,Pharmaceutical products
178,Animal or Vegetable Fertilizers value:45968,Fertilizers
179,Nitrogenous Fertilizers value:4402680,Fertilizers
180,Phosphatic Fertilizers value:13875,Fertilizers
181,Potassic Fertilizers value:1101785,Fertilizers
182,Mixed Mineral or Chemical Fertilizers value:29538449,Fertilizers
183,Photographic Plates value:582045,Photographic or cinematographic goods
184,Photographic Film value:1471,Photographic or cinematographic goods
185,Photographic Paper value:4975,Photographic or cinematographic goods
186,Developed Exposed Photographic Material value:38080,Photographic or cinematographic goods
187,Motion-picture film exposed and developed value:505,Photographic or cinematographic goods
188,Photographic Chemicals value:135401,Photographic or cinematographic goods
189,Artificial Graphite value:81,Chemical products n.e.s.
190,Activated Carbon value:110519,Chemical products n.e.s.
191,Wood Pulp Lyes value:1128,Chemical products n.e.s.
192,Turpentine value:2283,Chemical products n.e.s.
193,Wood Tar Oils and Pitch value:30764,Chemical products n.e.s.
194,Pesticides value:96116923,Chemical products n.e.s.
195,Dyeing Finishing Agents value:229689,Chemical products n.e.s.
196,Metal Pickling Preparations value:91319,Chemical products n.e.s.
197,Antiknock value:468638,Chemical products n.e.s.
198,Prepared Rubber Accelerators value:318105,Chemical products n.e.s.
199,Fire Extinguishers Preparations value:372,Chemical products n.e.s.
200,Organic Composite Solvents value:2127595,Chemical products n.e.s.
201,Reaction and Catalytic Products value:342077,Chemical products n.e.s.
202,Refractory Cements value:469009,Chemical products n.e.s.
203,Alkylbenzenes and Alkylnaphthalenes value:50,Chemical products n.e.s.
204,Disc Chemicals for Electronics value:126941,Chemical products n.e.s.
205,Hydraulic Brake Fluid value:57396,Chemical products n.e.s.
206,Antifreeze value:169713,Chemical products n.e.s.
207,Micro-Organism Culture Preparations value:89413,Chemical products n.e.s.
208,Laboratory Reagents value:1795017,Chemical products n.e.s.
209,Industrial Fatty Acids Oils and Alcohols value:14661101,Chemical products n.e.s.
210,Ethylene Polymers value:2294038,Plastics and articles thereof
211,Propylene Polymers value:1627813,Plastics and articles thereof
212,Styrene Polymers value:116339,Plastics and articles thereof
213 vinyl Chloride Polymers value:8481086,Plastics and articles thereof
214,Other Vinyl Polymers value:292054,Plastics and articles thereof
215,Acrylic Polymers value:815880,Plastics and articles thereof
216,Polyacetals value:2670405,Plastics and articles thereof
217,Polyamides value:93385,Plastics and articles thereof
218,Amino-resins value:411368,Plastics and articles thereof
219,Silicone value:375867,Plastics and articles thereof
220,Petroleum Resins value:171368,Plastics and articles thereof
221,Cellulose value:319432,Plastics and articles thereof
222,Natural Polymers value:97388,Plastics and articles thereof
223,Polymer Ion-Exchangers value:1753,Plastics and articles thereof
224,Scrap Plastic value:3680432,Plastics and articles thereof
225,Monofilament value:3251581,Plastics and articles thereof
226,Plastic Pipes value:60563892,Plastics and articles thereof
227,Plastic Floor Coverings value:186464,Plastics and articles thereof
228,Self-adhesive Plastics value:7661840,Plastics and articles thereof
229,Raw Plastic Sheeting value:18384377,Plastics and articles thereof
230,Other Plastic Sheetings value:62079236,Plastics and articles thereof
231,Plastic Wash Basins value:1302943,Plastics and articles thereof
232,Plastic Lids value:92393774,Plastics and articles thereof
233,Plastic Housewares value:5937352,Plastics and articles thereof
234,Plastic Building Materials value:18994717,Plastics and articles thereof
235,Other Plastic Products value:121597631,Plastics and articles thereof
236,Rubber value:141520,Rubber and articles thereof
237,Synthetic Rubber value:103315,Rubber and articles thereof
238,Reclaimed Rubber value:80699,Rubber and articles thereof
239,Scrap Rubber value:54833,Rubber and articles thereof
240,Compounded Unvulcanised Rubber value:593622,Rubber and articles thereof
241,Unvulcanised Rubber Products value:8956,Rubber and articles thereof
242,Rubber Thread value:16717,Rubber and articles thereof
243,Rubber Sheets value:155055,Rubber and articles thereof
244,Rubber Pipes value:505138,Rubber and articles thereof
245,Rubber Belting value:134832,Rubber and articles thereof
246,Rubber Tires value:203310189,Rubber and articles thereof
247,Used Rubber Tires value:48203,Rubber and articles thereof
248,Rubber Inner Tubes value:55388,Rubber and articles thereof
249,Pharmaceutical Rubber Products value:320456,Rubber and articles thereof
250,Rubber Apparel value:590576,Rubber and articles thereof
251,Other Rubber Products value:74474925,Rubber and articles thereof
252,Hard Rubber value:38133,Rubber and articles thereof
253,Equine and Bovine Hides value:24262,Raw hides and skins (other than furskins) and leather
254,Sheep Hides value:1298,Raw hides and skins (other than furskins) and leather
255,Other Hides and Skins value:282041,Raw hides and skins (other than furskins) and leather
256,Tanned Equine and Bovine Hides value:3684880,Raw hides and skins (other than furskins) and leather
257,Leather of Other Animals value:100,Raw hides and skins (other than furskins) and leather
258,Chamois Leather value:271,Raw hides and skins (other than furskins) and leather
259,Patent Leather value:19,Raw hides and skins (other than furskins) and leather
260,Leather Waste value:6314,Raw hides and skins (other than furskins) and leather
261,Leather Sheets value:4956,Raw hides and skins (other than furskins) and leather
262,Natural Cork Articles value:36162,Cork and articles of cork
263,Agglomerated Cork value:970,Cork and articles of cork
264,Silk Fabrics value:1019,Silk
265,Raw Cotton value:269899,Cotton
266,Cotton Waste value:2220862,Cotton
267,Prepared Cotton value:1066498,Cotton
268,Cotton Sewing Thread value:10861,Cotton
269,Non-Retail Pure Cotton Yarn value:23217717,Cotton
270,Non-Retail Mixed Cotton Yarn value:10869894,Cotton
271,Retail Cotton Yarn value:191171,Cotton
272,Light Pure Woven Cotton value:10317,Cotton
273,Heavy Pure Woven Cotton value:122656,Cotton
274,Light Mixed Woven Cotton value:67682,Cotton
275,Heavy Mixed Woven Cotton value:284,Cotton
276,Other Cotton Fabrics value:129278,Cotton
277,Artificial Filament Sewing Thread value:11405867,Man-made filaments
278,Non-Retail Synthetic Filament Yarn value:10958376,Man-made filaments
279,Non-Retail Artificial Filament Yarn value:8367,Man-made filaments
280,Synthetic Monofilament value:72439,Man-made filaments
281,Retail Artificial Filament Yarn value:9220,Man-made filaments
282,Synthetic Filament Yarn Woven Fabric value:656479,Man-made filaments
283,Artificial Filament Yarn Woven Fabric value:35428,Man-made filaments
284,Synthetic Filament Tow value:1586,Man-made staple fibres
285,Artificial Filament Tow value:209,Man-made staple fibres
286,Unprocessed Synthetic Staple Fibers value:167032,Man-made staple fibres
287,Non-Retail Artificial Staple Fibers Sewing Thread value:1526587,Man-made staple fibres
288,Non-Retail Synthetic Staple Fibers Yarn value:1691461,Man-made staple fibres
289,Non-Retail Artificial Staple Fibers Yarn value:221462,Man-made staple fibres
290,Retail Artificial Staple Fibers Yarn value:173,Man-made staple fibres
291,Synthetic Fabrics value:8083,Man-made staple fibres
292,Light Synthetic Cotton Fabrics value:35416,Man-made staple fibres
293,Heavy Synthetic Cotton Fabrics value:7438,Man-made staple fibres
294,Other Synthetic Fabrics value:82856,Man-made staple fibres
295,Woven Fabric of Synthetic Staple Fibers value:20431,Man-made staple fibres
296,Knotted Carpets value:4394,Carpets and other textile floor coverings
297,Hand-Woven Rugs value:34741,Carpets and other textile floor coverings
298,Tufted Carpets value:42482,Carpets and other textile floor coverings
299,Other Carpets value:12331,Carpets and other textile floor coverings
300,Woven Fabrics value:886738,Woven fabrics
301,Terry Fabric value:271,Woven fabrics
302,Tulles and Net Fabric value:14173,Woven fabrics
303,Hand-Woven Tapestries value:5415,Woven fabrics
304,Narrow Woven Fabric value:2029600,Woven fabrics
305,Labels value:444740,Woven fabrics
306,Ornamental Trimmings value:236,Woven fabrics
307,Metallic Fabric value:1564,Woven fabrics
308,Embroidery value:33607,Woven fabrics
309,Quilted Textiles value:1912,Woven fabrics
310,Gum Coated Textile Fabric value:1779,Textile fabrics
311,Polyamide Fabric value:15057,Textile fabrics
312,Plastic Coated Textile Fabric value:9488374,Textile fabrics
313,Linoleum value:606,Textile fabrics
314,Textile Wall Coverings value:32000,Textile fabrics
315,Rubber Textile Fabric value:423151,Textile fabrics
316,Coated Textile Fabric value:4983,Textile fabrics
317,Hose Piping Textiles value:361336,Textile fabrics
318,Conveyor Belt Textiles value:4650,Textile fabrics
319,Technical Use Textiles value:18606814,Textile fabrics
320,Pile Fabric value:7617,Knitted or chrocheted fabrics
321,Light Rubberized Knitted Fabric value:959694,Knitted or chrocheted fabrics
322,Knit Men's Coats value:19530,Knitted or crocheted apparel and clothing accessories
323,Knit Women's Coats value:8796,Knitted or crocheted apparel and clothing accessories
324,Knit Men's Suits value:776824,Knitted or crocheted apparel and clothing accessories
325,Knit Women's Suits value:298322,Knitted or crocheted apparel and clothing accessories
326,Knit Men's Shirts value:101564,Knitted or crocheted apparel and clothing accessories
327,Knit Women's Shirts value:68230,Knitted or crocheted apparel and clothing accessories
328,Knit Men's Undergarments value:80739,Knitted or crocheted apparel and clothing accessories
329,Knit Women's Undergarments value:54760,Knitted or crocheted apparel and clothing accessories
330,Knit T-shirts value:1232329,Knitted or crocheted apparel and clothing accessories
331,Knit Sweaters value:275800,Knitted or crocheted apparel and clothing accessories
332,Knit Babies' Garments value:55111,Knitted or crocheted apparel and clothing accessories
333,Knit Active Wear value:52560,Knitted or crocheted apparel and clothing accessories
334,Garments of Impregnated Fabric value:3994,Knitted or crocheted apparel and clothing accessories
335,Other Knit Garments value:658057,Knitted or crocheted apparel and clothing accessories
336,Knit Socks and Hosiery value:31209603,Knitted or crocheted apparel and clothing accessories
337,Knit Gloves value:61567,Knitted or crocheted apparel and clothing accessories
